,origx,origy,value,orig_srid,date,property,unit,quality,parameter,sampledevice,samplemethod,compartment,measurementmethod
0,71542.837,451055.714,-4.005,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
1,71542.54,451056.3,-3.915,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
2,71542.284,451056.703,-3.98,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
3,71542.064,451057.059,-4.081,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
4,71541.822,451057.5,-3.975,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
5,71541.605,451057.939,-4.042,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
6,71541.537,451058.474,-4.074,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
7,71541.504,451059.058,-4.043,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
8,71541.507,451059.523,-4.044,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
9,71541.489,451059.919,-4.064,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
10,71541.556,451060.332,-4.022,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
11,71541.769,451060.826,-4.121,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
12,71541.954,451061.468,-4.011,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
13,71542.187,451062.133,-4.061,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
14,71542.292,451062.731,-4.007,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
15,71542.357,451063.104,-4.014,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
16,71542.916,451063.391,-4.024,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
17,71543.486,451063.654,-4.002,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
18,71543.912,451064.039,-4.044,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
19,71544.349,451064.636,-3.977,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
20,71544.527,451065.152,-4.0,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
21,71544.768,451065.792,-4.067,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
22,71544.991,451066.32,-3.998,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
23,71545.401,451066.826,-4.025,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
24,71545.39,451067.539,-3.989,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
25,71544.466,451069.082,-4.043,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
26,71543.935,451071.736,-4.14,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
27,71544.22,451075.011,-4.14,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
28,71545.38,451078.077,-4.169,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
29,71547.568,451080.252,-4.2,28992,20140911,t.o.v. Normaal Amsterdams Peil,meter,Normale waarde,sea_floor_depth_below_sea_level,jetski,niet van toepassing,oever,gps meting
